Drug,Drug
6,147
6,160
6,177
6,180
6,186
6,193
6,194
6,200
6,201
6,204
6,205
6,207
6,208
6,216
6,217
6,222
6,225
6,233
6,234
6,235
6,245
6,248
6,252
6,256
6,264
6,265
6,266
7,6
7,15
7,26
7,31
7,32
7,53
7,55
7,56
7,90
7,92
7,110
7,121
7,130
7,134
7,160
7,177
7,180
7,193
7,194
7,200
7,201
7,205
7,216
7,217
7,248
7,252
7,264
7,265
8,1
8,6
8,9
8,15
8,16
8,26
8,29
8,31
8,32
8,35
8,41
8,42
8,53
8,54
8,55
8,65
8,68
8,84
8,85
8,90
8,91
8,92
8,102
8,107
8,108
8,110
8,111
8,113
8,114
8,116
8,117
8,121
8,130
8,134
8,147
8,155
8,160
8,177
8,180
8,186
8,193
8,194
8,200
8,201
8,203
8,204
8,205
8,207
8,208
8,216
8,217
8,222
8,225
8,228
8,232
8,233
8,234
8,235
8,245
8,248
8,252
8,255
8,256
8,264
8,265
8,266
9,1
9,6
9,8
9,15
9,16
9,26
9,29
9,31
9,32
9,35
9,41
9,42
9,53
9,54
9,55
9,56
9,65
9,66
9,67
9,68
9,84
9,85
9,90
9,92
9,102
9,103
9,107
9,108
9,110
9,114
9,116
9,121
9,130
9,134
9,147
9,155
9,160
9,177
9,180
9,193
9,194
9,200
9,203
9,204
9,205
9,207
9,208
9,216
9,217
9,225
9,228
9,232
9,233
9,235
9,245
9,248
9,252
9,253
9,255
9,264
9,265
10,1
10,6
10,8
10,15
10,16
10,26
10,29
10,31
10,32
10,35
10,41
10,42
10,53
10,55
10,56
10,65
10,85
10,90
10,91
10,92
10,102
10,107
10,108
10,110
10,111
10,113
10,114
10,116
10,117
10,121
10,130
10,134
10,147
10,160
10,177
10,180
10,186
10,193
10,194
10,200
10,201
10,204
10,207
10,208
10,217
10,222
10,225
10,228
10,233
10,234
10,235
10,245
10,248
10,252
10,256
10,264
10,265
10,266
11,6
11,8
11,26
11,29
11,31
11,35
11,42
11,53
11,55
11,56
11,90
11,91
11,92
11,108
11,113
11,116
11,117
11,130
11,134
11,160
11,180
11,186
11,193
11,194
11,200
11,201
11,204
11,207
11,208
11,228
11,234
11,235
11,245
11,248
11,256
11,264
11,265
11,266
12,1
12,6
12,8
12,15
12,16
12,26
12,29
12,31
12,32
12,35
12,41
12,42
12,55
12,56
12,65
12,68
12,85
12,90
12,91
12,102
12,103
12,107
12,108
12,110
12,111
12,113
12,114
12,116
12,117
12,121
12,130
12,134
12,147
12,155
12,160
12,177
12,180
12,186
12,193
12,194
12,201
12,204
12,207
12,208
12,225
12,228
12,233
12,234
12,235
12,245
12,248
12,252
12,256
12,264
12,265
12,266
13,1
13,6
13,8
13,9
13,15
13,16
13,26
13,29
13,31
13,32
13,35
13,41
13,42
13,53
13,54
13,55
13,56
13,65
13,66
13,67
13,68
13,84
13,85
13,90
13,91
13,92
13,102
13,103
13,107
13,108
13,110
13,111
13,113
13,114
13,116
13,121
13,130
13,134
13,147
13,155
13,160
13,177
13,180
13,186
13,193
13,194
13,200
13,201
13,203
13,204
13,205
13,207
13,208
13,216
13,217
13,225
13,228
13,232
13,233
13,235
13,245
13,248
13,252
13,255
13,264
13,265
14,1
14,6
14,8
14,15
14,16
14,26
14,29
14,31
14,32
14,35
14,41
14,42
14,53
14,55
14,56
14,65
14,68
14,84
14,85
14,90
14,91
14,102
14,107
14,108
14,110
14,111
14,113
14,114
14,116
14,117
14,121
14,130
14,134
14,147
14,160
14,177
14,180
14,186
14,193
14,194
14,200
14,201
14,204
14,207
14,208
14,217
14,225
14,228
14,233
14,234
14,235
14,245
14,248
14,252
14,255
14,256
14,264
14,265
14,266
15,6
15,8
15,9
15,26
15,29
15,31
15,32
15,35
15,42
15,53
15,55
15,56
15,65
15,66
15,67
15,90
15,91
15,92
15,103
15,108
15,110
15,111
15,113
15,116
15,117
15,121
15,130
15,134
15,160
15,177
15,180
15,186
15,193
15,194
15,200
15,201
15,204
15,205
15,207
15,208
15,216
15,217
15,228
15,233
15,234
15,235
15,245
15,252
15,256
15,265
15,266
16,1
16,6
16,8
16,9
16,26
16,29
16,32
16,35
16,41
16,54
16,56
16,65
16,68
16,84
16,85
16,91
16,102
16,103
16,107
16,108
16,111
16,113
16,114
16,116
16,130
16,147
16,155
16,177
16,186
16,193
16,194
16,200
16,203
16,204
16,207
16,208
16,217
16,225
16,228
16,232
16,233
16,234
16,235
16,245
16,248
16,255
16,256
16,264
17,1
17,6
17,8
17,15
17,26
17,29
17,31
17,32
17,35
17,41
17,42
17,53
17,55
17,56
17,65
17,90
17,102
17,107
17,108
17,110
17,111
17,113
17,114
17,116
17,121
17,130
17,160
17,177
17,180
17,186
17,193
17,194
17,201
17,203
17,207
17,208
17,217
17,225
17,228
17,233
17,234
17,235
17,245
17,248
17,252
17,253
17,256
17,265
17,266
18,6
18,8
18,15
18,26
18,29
18,31
18,32
18,35
18,42
18,53
18,55
18,56
18,90
18,91
18,92
18,107
18,108
18,110
18,111
18,113
18,116
18,117
18,121
18,130
18,134
18,147
18,160
18,177
18,180
18,186
18,193
18,194
18,200
18,201
18,204
18,205
18,207
18,208
18,216
18,217
18,228
18,233
18,235
18,245
18,248
18,252
18,256
18,265
18,266
19,6
19,8
19,15
19,26
19,29
19,31
19,32
19,35
19,41
19,53
19,55
19,56
19,85
19,90
19,91
19,92
19,102
19,107
19,108
19,110
19,113
19,114
19,116
19,117
19,121
19,130
19,134
19,147
19,155
19,160
19,177
19,180
19,186
19,193
19,194
19,200
19,201
19,204
19,205
19,207
19,208
19,216
19,217
19,222
19,225
19,228
19,234
19,235
19,245
19,248
19,252
19,255
19,256
19,264
19,265
19,266
20,1
20,6
20,8
20,15
20,16
20,26
20,29
20,31
20,32
20,35
20,41
20,42
20,53
20,55
20,56
20,65
20,85
20,90
20,91
20,92
20,102
20,107
20,108
20,110
20,111
20,113
20,114
20,116
20,117
20,121
20,130
20,134
20,147
20,160
20,177
20,180
20,186
20,193
20,194
20,200
20,201
20,204
20,205
20,207
20,208
20,216
20,217
20,222
20,225
20,228
20,233
20,235
20,245
20,248
20,252
20,256
20,264
20,265
20,266
21,1
21,6
21,8
21,15
21,16
21,26
21,29
21,31
21,32
21,35
21,41
21,42
21,53
21,55
21,56
21,65
21,68
21,84
21,85
21,90
21,91
21,102
21,107
21,108
21,110
21,111
21,113
21,114
21,116
21,117
21,121
21,130
21,134
21,147
21,160
21,177
21,180
21,186
21,193
21,194
21,200
21,201
21,204
21,207
21,208
21,217
21,222
21,225
21,228
21,233
21,234
21,235
21,245
21,248
21,252
21,255
21,256
21,264
21,265
21,266
22,6
22,8
22,9
22,15
22,26
22,29
22,31
22,32
22,35
22,41
22,42
22,53
22,55
22,56
22,65
22,66
22,67
22,85
22,90
22,91
22,92
22,102
22,103
22,107
22,108
22,110
22,111
22,113
22,114
22,116
22,117
22,121
22,130
22,134
22,147
22,160
22,177
22,180
22,186
22,193
22,194
22,200
22,201
22,204
22,205
22,207
22,208
22,216
22,217
22,222
22,225
22,228
22,233
22,234
22,235
22,245
22,248
22,252
22,256
22,264
22,265
22,266
23,6
23,9
23,29
23,32
23,41
23,53
23,56
23,66
23,67
23,90
23,91
23,107
23,108
23,110
23,111
23,114
23,130
23,134
23,147
23,177
23,180
23,186
23,193
23,194
23,200
23,207
23,208
23,225
23,228
23,235
23,253
23,264
23,265
24,8
24,15
24,16
24,26
24,29
24,31
24,32
24,35
24,42
24,53
24,55
24,56
24,84
24,90
24,91
24,108
24,111
24,113
24,116
24,117
24,121
24,130
24,134
24,147
24,160
24,177
24,180
24,186
24,193
24,194
24,201
24,204
24,207
24,208
24,228
24,233
24,235
24,245
24,248
24,252
24,255
24,256
24,265
24,266
25,91
25,103
25,108
25,113
25,147
26,1
26,6
26,8
26,9
26,15
26,16
26,29
26,31
26,32
26,35
26,41
26,42
26,53
26,55
26,56
26,65
26,66
26,67
26,90
26,91
26,92
26,102
26,103
26,108
26,110
26,111
26,113
26,114
26,116
26,117
26,121
26,130
26,134
26,147
26,160
26,177
26,180
26,186
26,193
26,194
26,200
26,201
26,203
26,204
26,205
26,207
26,208
26,216
26,217
26,225
26,228
26,233
26,234
26,235
26,245
26,248
26,252
26,256
26,264
26,265
26,266
27,6
27,29
27,35
27,41
27,42
27,53
27,65
27,107
27,116
27,117
27,193
27,194
27,201
27,207
27,217
27,234
27,235
27,245
27,253
27,256
27,266
28,1
28,6
28,8
28,15
28,16
28,26
28,29
28,31
28,32
28,35
28,41
28,42
28,53
28,55
28,56
28,65
28,68
28,85
28,90
28,91
28,102
28,107
28,108
28,110
28,111
28,113
28,114
28,116
28,117
28,121
28,130
28,147
28,155
28,160
28,177
28,180
28,186
28,193
28,194
28,200
28,201
28,207
28,208
28,217
28,225
28,228
28,233
28,234
28,235
28,245
28,248
28,252
28,255
28,256
28,264
28,265
28,266
29,1
29,6
29,8
29,9
29,15
29,16
29,26
29,31
29,32
29,35
29,41
29,42
29,53
29,54
29,55
29,56
29,65
29,66
29,67
29,68
29,84
29,85
29,90
29,91
29,92
29,102
29,103
29,107
29,108
29,110
29,111
29,113
29,114
29,116
29,117
29,121
29,130
29,134
29,147
29,155
29,160
29,177
29,180
29,186
29,193
29,194
29,200
29,201
29,203
29,204
29,205
29,207
29,208
29,216
29,217
29,225
29,228
29,232
29,233
29,234
29,235
29,245
29,248
29,252
29,253
29,255
29,256
29,264
29,265
29,266
30,1
30,6
30,8
30,9
30,16
30,26
30,29
30,31
30,32
30,35
30,41
30,42
30,53
30,54
30,56
30,65
30,68
30,84
30,85
30,91
30,92
30,102
30,103
30,107
30,108
30,110
30,111
30,113
30,114
30,116
30,117
30,130
30,147
30,155
30,177
30,186
30,193
30,194
30,200
30,201
30,203
30,204
30,207
30,208
30,217
30,225
30,228
30,232
30,233
30,234
30,235
30,245
30,248
30,253
30,255
30,256
30,264
30,265
30,266
31,1
31,6
31,8
31,9
31,15
31,26
31,29
31,32
31,35
31,41
31,42
31,53
31,55
31,56
31,65
31,66
31,67
31,85
31,90
31,91
31,92
31,102
31,103
31,107
31,108
31,110
31,111
31,113
31,116
31,117
31,121
31,130
31,134
31,147
31,160
31,177
31,180
31,186
31,193
31,194
31,200
31,201
31,204
31,205
31,207
31,208
31,216
31,217
31,222
31,225
31,228
31,233
31,234
31,235
31,245
31,248
31,252
31,256
31,265
31,266
32,1
32,6
32,8
32,9
32,15
32,16
32,26
32,29
32,31
32,35
32,41
32,42
32,53
32,55
32,56
32,65
32,68
32,84
32,85
32,90
32,91
32,102
32,107
32,108
32,110
32,111
32,113
32,114
32,116
32,117
32,121
32,130
32,147
32,160
32,177
32,180
32,186
32,193
32,194
32,201
32,204
32,207
32,208
32,217
32,225
32,228
32,233
32,234
32,235
32,245
32,248
32,252
32,253
32,255
32,256
32,264
32,265
32,266
33,1
33,6
33,8
33,15
33,16
33,26
33,29
33,31
33,32
33,35
33,41
33,42
33,55
33,56
33,65
33,66
33,67
33,68
33,84
33,85
33,90
33,91
33,102
33,103
33,107
33,108
33,110
33,111
33,113
33,114
33,116
33,117
33,121
33,130
33,134
33,147
33,155
33,160
33,177
33,180
33,186
33,193
33,194
33,200
33,201
33,204
33,207
33,208
33,217
33,222
33,225
33,228
33,233
33,234
33,235
33,245
33,248
33,252
33,255
33,256
33,264
33,265
33,266
34,6
34,8
34,15
34,26
34,29
34,31
34,32
34,35
34,42
34,53
34,55
34,56
34,90
34,91
34,92
34,107
34,108
34,110
34,111
34,113
34,116
34,117
34,121
34,130
34,134
34,147
34,160
34,177
34,180
34,186
34,193
34,194
34,200
34,201
34,204
34,205
34,207
34,208
34,216
34,217
34,225
34,228
34,233
34,235
34,245
34,248
34,252
34,256
34,264
34,265
34,266
35,1
35,6
35,8
35,9
35,15
35,16
35,26
35,29
35,31
35,32
35,41
35,42
35,53
35,54
35,55
35,56
35,65
35,68
35,84
35,85
35,90
35,91
35,102
35,107
35,108
35,110
35,111
35,113
35,114
35,116
35,117
35,121
35,130
35,134
35,147
35,155
35,160
35,177
35,180
35,186
35,193
35,194
35,200
35,201
35,203
35,204
35,207
35,208
35,217
35,222
35,225
35,228
35,232
35,233
35,234
35,235
35,245
35,248
35,252
35,253
35,255
35,256
35,264
35,265
35,266
36,6
36,8
36,9
36,15
36,26
36,29
36,31
36,32
36,35
36,41
36,42
36,53
36,55
36,56
36,65
36,66
36,67
36,90
36,91
36,92
36,103
36,107
36,108
36,110
36,113
36,114
36,116
36,117
36,121
36,130
36,134
36,147
36,160
36,177
36,180
36,186
36,193
36,194
36,200
36,201
36,204
36,205
36,207
36,208
36,216
36,225
36,228
36,234
36,235
36,245
36,248
36,252
36,253
36,256
36,264
36,265
36,266
37,6
37,8
37,16
37,26
37,29
37,31
37,32
37,35
37,41
37,55
37,65
37,68
37,84
37,85
37,90
37,91
37,102
37,107
37,108
37,110
37,111
37,113
37,114
37,116
37,121
37,130
37,134
37,147
37,155
37,160
37,180
37,186
37,193
37,194
37,200
37,201
37,204
37,207
37,208
37,217
37,222
37,225
37,228
37,234
37,235
37,245
37,248
37,255
37,256
37,264
38,1
38,6
38,8
38,16
38,26
38,29
38,31
38,32
38,35
38,41
38,42
38,53
38,55
38,65
38,68
38,85
38,90
38,91
38,102
38,103
38,107
38,108
38,110
38,111
38,113
38,114
38,116
38,117
38,121
38,130
38,134
38,147
38,155
38,160
38,177
38,180
38,186
38,193
38,194
38,200
38,201
38,203
38,204
38,207
38,208
38,217
38,225
38,228
38,233
38,234
38,235
38,245
38,248
38,253
38,255
38,256
38,264
38,266
39,1
39,6
39,8
39,9
39,15
39,16
39,26
39,29
39,31
39,32
39,35
39,41
39,42
39,53
39,55
39,56
39,65
39,66
39,67
39,68
39,85
39,90
39,92
39,102
39,103
39,107
39,108
39,110
39,111
39,113
39,114
39,116
39,117
39,121
39,130
39,134
39,147
39,160
39,177
39,180
39,186
39,193
39,194
39,200
39,201
39,205
39,207
39,208
39,216
39,217
39,225
39,233
39,234
39,235
39,245
39,248
39,252
39,253
39,256
39,264
39,265
39,266
40,6
40,29
40,31
40,32
40,35
40,41
40,42
40,65
40,85
40,90
40,91
40,102
40,107
40,108
40,110
40,111
40,113
40,121
40,130
40,160
40,186
40,193
40,194
40,200
40,204
40,207
40,222
40,225
40,228
40,235
40,245
40,248
40,264
41,1
41,6
41,8
41,9
41,16
41,26
41,29
41,31
41,32
41,35
41,42
41,54
41,55
41,56
41,65
41,68
41,84
41,85
41,90
41,91
41,102
41,103
41,107
41,108
41,110
41,111
41,113
41,114
41,116
41,117
41,130
41,147
41,155
41,160
41,177
41,186
41,193
41,194
41,200
41,201
41,203
41,204
41,207
41,208
41,217
41,225
41,228
41,232
41,233
41,234
41,235
41,245
41,248
41,253
41,255
41,256
41,264
42,1
42,6
42,8
42,9
42,15
42,26
42,29
42,31
42,32
42,35
42,41
42,53
42,55
42,56
42,65
42,66
42,67
42,85
42,90
42,91
42,92
42,102
42,103
42,107
42,108
42,110
42,111
42,113
42,114
42,116
42,117
42,121
42,130
42,134
42,147
42,155
42,160
42,177
42,180
42,186
42,193
42,194
42,200
42,201
42,204
42,205
42,207
42,208
42,216
42,217
42,225
42,228
42,233
42,234
42,235
42,245
42,252
42,253
42,255
42,256
42,265
42,266
43,1
43,6
43,15
43,26
43,29
43,31
43,32
43,35
43,41
43,42
43,53
43,55
43,56
43,90
43,92
43,102
43,107
43,116
43,117
43,121
43,130
43,134
43,160
43,177
43,180
43,186
43,193
43,194
43,200
43,201
43,205
43,207
43,216
43,217
43,225
43,233
43,234
43,235
43,245
43,248
43,252
43,253
43,256
43,265
43,266
44,1
44,6
44,8
44,9
44,15
44,16
44,26
44,29
44,31
44,32
44,35
44,41
44,42
44,53
44,55
44,65
44,66
44,67
44,90
44,91
44,92
44,102
44,103
44,108
44,110
44,111
44,113
44,114
44,116
44,117
44,121
44,130
44,134
44,147
44,155
44,160
44,177
44,180
44,186
44,193
44,194
44,200
44,201
44,203
44,205
44,207
44,208
44,216
44,217
44,222
44,225
44,228
44,233
44,234
44,235
44,245
44,248
44,252
44,256
44,264
44,266
45,1
45,6
45,9
45,15
45,16
45,29
45,41
45,42
45,53
45,56
45,65
45,66
45,67
45,91
45,92
45,102
45,103
45,108
45,110
45,113
45,114
45,117
45,121
45,130
45,134
45,147
45,180
45,186
45,193
45,194
45,200
45,201
45,207
45,208
45,217
45,225
45,228
45,234
45,235
45,245
45,248
45,252
45,256
45,264
45,265
45,266
46,8
46,186
46,193
46,194
47,29
47,35
47,41
47,42
47,53
47,65
47,107
47,116
47,117
47,193
47,194
47,207
47,217
47,234
47,235
47,253
47,256
48,1
48,6
48,9
48,15
48,16
48,26
48,29
48,31
48,35
48,41
48,42
48,53
48,54
48,55
48,56
48,65
48,66
48,67
48,68
48,84
48,85
48,90
48,91
48,92
48,102
48,103
48,108
48,110
48,111
48,114
48,116
48,121
48,130
48,134
48,147
48,155
48,160
48,177
48,180
48,186
48,193
48,200
48,203
48,204
48,205
48,208
48,216
48,225
48,228
48,232
48,233
48,245
48,248
48,252
48,255
48,264
48,265
49,6
49,8
49,9
49,15
49,26
49,29
49,31
49,35
49,41
49,42
49,53
49,55
49,56
49,65
49,66
49,67
49,84
49,90
49,92
49,103
49,107
49,108
49,110
49,116
49,117
49,121
49,130
49,134
49,147
49,160
49,177
49,180
49,186
49,193
49,194
49,200
49,201
49,205
49,207
49,208
49,216
49,217
49,234
49,235
49,245
49,252
49,253
49,256
49,265
49,266
50,6
50,9
50,15
50,26
50,29
50,31
50,32
50,42
50,53
50,55
50,56
50,65
50,67
50,90
50,92
50,103
50,108
50,110
50,121
50,130
50,134
50,147
50,160
50,177
50,180
50,193
50,200
50,201
50,205
50,208
50,216
50,245
50,248
50,252
50,265
51,1
51,6
51,8
51,9
51,15
51,16
51,26
51,29
51,31
51,32
51,35
51,41
51,42
51,53
51,55
51,56
51,65
51,68
51,84
51,85
51,90
51,91
51,92
51,102
51,103
51,107
51,108
51,110
51,111
51,113
51,114
51,116
51,117
51,121
51,130
51,134
51,147
51,155
51,160
51,177
51,180
51,186
51,193
51,194
51,200
51,201
51,204
51,205
51,207
51,208
51,216
51,217
51,225
51,228
51,233
51,234
51,235
51,245
51,248
51,252
51,253
51,255
51,256
51,264
51,265
51,266
52,1
52,6
52,8
52,9
52,15
52,16
52,26
52,29
52,31
52,32
52,35
52,41
52,42
52,53
52,55
52,56
52,65
52,66
52,67
52,68
52,85
52,90
52,91
52,92
52,102
52,103
52,107
52,108
52,110
52,111
52,113
52,114
52,116
52,117
52,121
52,130
52,134
52,147
52,160
52,177
52,180
52,186
52,193
52,194
52,200
52,201
52,203
52,204
52,205
52,207
52,208
52,216
52,217
52,225
52,228
52,233
52,234
52,235
52,245
52,248
52,252
52,253
52,256
52,264
52,265
52,266
53,1
53,6
53,8
53,9
53,15
53,26
53,29
53,31
53,32
53,35
53,42
53,55
53,56
53,65
53,66
53,67
53,90
53,92
53,102
53,103
53,108
53,110
53,116
53,117
53,121
53,130
53,134
53,147
53,160
53,177
53,180
53,186
53,193
53,194
53,200
53,201
53,204
53,205
53,207
53,208
53,216
53,217
53,225
53,228
53,233
53,234
53,235
53,245
53,248
53,252
53,256
53,265
53,266
54,1
54,8
54,9
54,16
54,29
54,35
54,41
54,56
54,65
54,68
54,84
54,85
54,102
54,114
54,116
54,130
54,147
54,155
54,200
54,203
54,204
54,207
54,225
54,228
54,232
54,233
54,248
54,255
54,264
55,1
55,6
55,8
55,9
55,15
55,26
55,29
55,31
55,32
55,35
55,41
55,42
55,53
55,56
55,65
55,66
55,67
55,90
55,91
55,92
55,102
55,103
55,108
55,110
55,111
55,113
55,114
55,116
55,117
55,121
55,130
55,134
55,147
55,160
55,177
55,180
55,186
55,193
55,194
55,200
55,201
55,203
55,204
55,205
55,207
55,208
55,216
55,217
55,225
55,228
55,233
55,234
55,235
55,245
55,248
55,252
55,256
55,266
56,1
56,6
56,9
56,15
56,16
56,26
56,29
56,31
56,32
56,35
56,41
56,42
56,53
56,54
56,55
56,65
56,66
56,67
56,68
56,84
56,85
56,90
56,91
56,92
56,102
56,103
56,107
56,108
56,110
56,111
56,113
56,114
56,116
56,117
56,121
56,130
56,134
56,147
56,155
56,160
56,177
56,180
56,186
56,193
56,194
56,200
56,201
56,203
56,204
56,205
56,207
56,208
56,216
56,217
56,222
56,225
56,228
56,232
56,233
56,234
56,235
56,245
56,248
56,252
56,253
56,255
56,256
56,264
56,265
56,266
57,1
57,6
57,8
57,9
57,15
57,16
57,26
57,29
57,31
57,32
57,35
57,41
57,54
57,55
57,56
57,65
57,68
57,84
57,85
57,90
57,91
57,92
57,102
57,107
57,108
57,110
57,111
57,113
57,114
57,116
57,117
57,121
57,130
57,134
57,147
57,155
57,160
57,177
57,180
57,186
57,193
57,194
57,200
57,201
57,203
57,205
57,207
57,208
57,216
57,217
57,225
57,228
57,232
57,233
57,235
57,248
57,252
57,255
57,264
57,265
58,16
58,29
58,31
58,32
58,35
58,53
58,55
58,84
58,90
58,91
58,107
58,108
58,110
58,113
58,116
58,147
58,160
58,180
58,194
58,201
58,222
58,228
58,248
58,255
59,6
59,31
59,32
59,35
59,42
59,53
59,55
59,65
59,117
59,186
59,193
59,194
59,201
59,207
59,217
59,233
59,234
59,245
59,256
59,266
60,1
60,6
60,15
60,16
60,26
60,29
60,31
60,32
60,41
60,42
60,53
60,55
60,56
60,65
60,90
60,92
60,102
60,107
60,113
60,114
60,117
60,121
60,130
60,134
60,147
60,160
60,177
60,180
60,186
60,193
60,194
60,200
60,201
60,205
60,207
60,208
60,216
60,217
60,225
60,234
60,235
60,245
60,248
60,252
60,256
60,264
60,265
60,266
61,6
61,9
61,15
61,16
61,26
61,29
61,31
61,32
61,42
61,53
61,55
61,56
61,65
61,66
61,67
61,84
61,90
61,92
61,103
61,108
61,110
61,111
61,121
61,130
61,134
61,147
61,160
61,177
61,180
61,193
61,194
61,200
61,201
61,205
61,208
61,216
61,228
61,235
61,245
61,248
61,252
61,255
61,265
62,1
62,6
62,8
62,15
62,16
62,26
62,29
62,31
62,32
62,35
62,41
62,42
62,53
62,55
62,56
62,65
62,68
62,85
62,90
62,91
62,92
62,102
62,107
62,108
62,110
62,111
62,113
62,114
62,116
62,117
62,121
62,130
62,134
62,147
62,155
62,160
62,177
62,180
62,186
62,193
62,194
62,200
62,201
62,204
62,207
62,208
62,217
62,225
62,228
62,233
62,234
62,235
62,245
62,248
62,252
62,255
62,256
62,264
62,265
62,266
63,1
63,6
63,8
63,9
63,15
63,16
63,26
63,29
63,31
63,32
63,35
63,41
63,42
63,53
63,55
63,56
63,65
63,66
63,67
63,68
63,85
63,90
63,92
63,102
63,103
63,107
63,108
63,110
63,111
63,113
63,114
63,117
63,121
63,130
63,134
63,147
63,160
63,177
63,180
63,186
63,193
63,194
63,200
63,201
63,205
63,207
63,208
63,216
63,217
63,225
63,233
63,234
63,235
63,245
63,248
63,252
63,256
63,264
63,265
63,266
64,8
64,26
64,29
64,31
64,35
64,41
64,53
64,55
64,65
64,85
64,90
64,102
64,107
64,108
64,110
64,111
64,113
64,114
64,116
64,117
64,134
64,147
64,155
64,160
64,193
64,194
64,200
64,201
64,203
64,207
64,208
64,228
64,234
64,245
64,255
64,256
64,264
65,1
65,6
65,8
65,9
65,15
65,16
65,26
65,29
65,31
65,32
65,35
65,41
65,42
65,53
65,54
65,55
65,56
65,66
65,67
65,68
65,84
65,85
65,90
65,91
65,92
65,102
65,103
65,107
65,108
65,110
65,111
65,113
65,114
65,116
65,117
65,121
65,130
65,134
65,147
65,155
65,160
65,177
65,180
65,186
65,193
65,194
65,200
65,201
65,203
65,204
65,205
65,207
65,208
65,216
65,217
65,225
65,228
65,232
65,233
65,234
65,235
65,245
65,248
65,252
65,255
65,256
65,264
65,265
65,266
66,6
66,9
66,15
66,26
66,29
66,31
66,42
66,53
66,55
66,56
66,65
66,67
66,68
66,90
66,92
66,103
66,108
66,110
66,111
66,121
66,130
66,134
66,147
66,160
66,177
66,180
66,193
66,200
66,205
66,208
66,216
66,228
66,245
66,252
66,265
67,6
67,9
67,15
67,26
67,29
67,31
67,42
67,53
67,55
67,56
67,65
67,66
67,90
67,92
67,103
67,108
67,110
67,111
67,121
67,130
67,134
67,147
67,160
67,177
67,180
67,193
67,200
67,205
67,208
67,216
67,228
67,245
67,252
67,265
68,1
68,8
68,9
68,16
68,29
68,32
68,35
68,41
68,54
68,56
68,65
68,66
68,84
68,85
68,102
68,107
68,108
68,111
68,113
68,114
68,116
68,117
68,130
68,147
68,155
68,186
68,193
68,194
68,200
68,203
68,204
68,207
68,208
68,217
68,225
68,228
68,232
68,233
68,234
68,235
68,248
68,255
68,256
68,264
68,266
69,1
69,6
69,8
69,9
69,15
69,16
69,26
69,29
69,31
69,32
69,35
69,41
69,42
69,53
69,55
69,56
69,65
69,66
69,67
69,68
69,84
69,85
69,90
69,91
69,92
69,102
69,103
69,107
69,108
69,110
69,111
69,113
69,114
69,116
69,117
